age,duration,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
44,210,1.4,93.444,-36.1,4.963,5228.1,2
53,138,-0.1,93.2,-42,4.021,5195.8,0
28,339,-1.7,94.055,-39.8,0.729,4991.6,1
39,185,-1.8,93.075,-47.1,1.405,5099.1,0
55,137,-2.9,92.201,-31.4,0.869,5076.2,1
30,68,1.4,93.918,-42.7,4.961,5228.1,0
37,204,-1.8,92.893,-46.2,1.327,5099.1,0
39,191,-1.8,92.893,-46.2,1.313,5099.1,2
36,174,-2.9,92.963,-40.8,1.266,5076.2,1
27,191,-1.8,93.075,-47.1,1.41,5099.1,0
34,62,1.1,93.994,-36.4,4.864,5191,2
41,789,1.4,93.444,-36.1,4.964,5228.1,0
55,372,1.4,93.444,-36.1,4.965,5228.1,1
33,75,-1.8,92.893,-46.2,1.291,5099.1,0
26,1021,1.4,94.465,-41.8,4.96,5228.1,2
52,117,1.4,93.918,-42.7,4.962,5228.1,0
35,1034,-1.8,93.075,-47.1,1.365,5099.1,1
27,540,-0.1,93.798,-40.4,4.86,5195.8,1
28,140,1.1,93.994,-36.4,4.86,5191,0
26,104,1.4,93.918,-42.7,4.96,5228.1,2
41,246,-1.8,93.075,-47.1,1.405,5099.1,0
35,1114,1.4,94.465,-41.8,4.967,5228.1,0
40,340,1.4,93.918,-42.7,4.963,5228.1,2
32,35,1.4,93.918,-42.7,4.968,5228.1,0
41,241,1.4,93.918,-42.7,4.962,5228.1,2
34,168,-1.8,92.893,-46.2,1.344,5099.1,0
49,81,-3.4,92.431,-26.9,0.754,5017.5,0
37,226,-1.8,93.075,-47.1,1.365,5099.1,2
35,746,-1.8,92.893,-46.2,1.313,5099.1,0
38,41,1.4,93.918,-42.7,4.961,5228.1,0
47,115,1.4,94.465,-41.8,4.961,5228.1,2
46,227,-1.8,92.893,-46.2,1.327,5099.1,2
27,275,-1.8,92.893,-46.2,1.299,5099.1,0
29,365,-2.9,92.963,-40.8,1.268,5076.2,1
32,68,1.4,93.918,-42.7,4.963,5228.1,0
36,54,-1.8,92.893,-46.2,1.334,5099.1,2
29,93,1.4,93.918,-42.7,4.96,5228.1,0
47,267,-1.8,93.075,-47.1,1.405,5099.1,2
44,17,1.4,94.465,-41.8,4.96,5228.1,0
54,121,1.4,93.444,-36.1,4.962,5228.1,2
36,294,1.1,93.994,-36.4,4.86,5191,0
42,24,1.1,93.994,-36.4,4.857,5191,2
44,345,1.4,93.918,-42.7,4.961,5228.1,0
72,244,-3.4,92.649,-30.1,0.715,5017.5,1
48,213,1.4,93.444,-36.1,4.966,5228.1,0
36,371,-0.1,93.2,-42,4.076,5195.8,0
35,87,1.4,93.444,-36.1,4.965,5228.1,2
43,195,-1.8,92.893,-46.2,1.354,5099.1,0
56,102,1.4,93.444,-36.1,4.967,5228.1,2
42,93,1.4,94.465,-41.8,4.959,5228.1,0
31,244,-1.8,92.893,-46.2,1.354,5099.1,2
32,52,1.4,94.465,-41.8,4.958,5228.1,0
33,164,-1.8,92.893,-46.2,1.354,5099.1,0
31,91,1.4,94.465,-41.8,4.864,5228.1,2
39,68,1.1,93.994,-36.4,4.859,5191,0
30,122,1.1,93.994,-36.4,4.857,5191,2
24,45,-1.8,92.893,-46.2,1.27,5099.1,2
24,61,1.1,93.994,-36.4,4.857,5191,0
38,162,1.1,93.994,-36.4,4.859,5191,2
26,126,1.4,94.465,-41.8,4.959,5228.1,0
41,92,1.1,93.994,-36.4,4.856,5191,0
34,329,-1.8,93.075,-47.1,1.405,5099.1,2
30,116,-1.8,92.843,-50,1.811,5099.1,1
37,450,-0.1,93.2,-42,4.021,5195.8,0
68,665,-2.9,92.469,-33.6,1.029,5076.2,2
31,168,1.4,93.918,-42.7,4.962,5228.1,0
48,132,-1.8,93.075,-47.1,1.365,5099.1,0
33,349,1.1,93.994,-36.4,4.857,5191,2
59,249,-1.8,92.893,-46.2,1.259,5099.1,0
44,336,1.1,93.994,-36.4,4.857,5191,0
28,169,1.4,94.465,-41.8,4.866,5228.1,2
50,89,-2.9,92.201,-31.4,0.883,5076.2,0
33,55,-0.1,93.2,-42,4.076,5195.8,0
45,221,1.1,93.994,-36.4,4.857,5191,2
40,77,1.4,93.918,-42.7,4.96,5228.1,0
45,64,1.4,93.444,-36.1,4.962,5228.1,2
43,62,1.1,93.994,-36.4,4.858,5191,2
54,198,1.1,93.994,-36.4,4.857,5191,0
53,249,1.1,93.994,-36.4,4.856,5191,0
35,106,1.4,93.918,-42.7,4.968,5228.1,2
30,445,1.4,93.444,-36.1,4.966,5228.1,0
25,149,1.4,94.465,-41.8,4.962,5228.1,2
35,66,1.4,93.444,-36.1,4.963,5228.1,2
54,415,-1.8,92.843,-50,1.56,5099.1,1
30,173,1.4,93.918,-42.7,4.96,5228.1,0
38,173,1.4,93.444,-36.1,4.963,5228.1,2
35,86,-3.4,92.431,-26.9,0.74,5017.5,0
47,131,1.1,93.994,-36.4,4.856,5191,0
32,523,1.4,93.918,-42.7,4.962,5228.1,2
27,383,1.1,93.994,-36.4,4.856,5191,0
40,160,-0.1,93.2,-42,4.245,5195.8,1
31,220,1.1,93.994,-36.4,4.857,5191,0
42,20,-1.8,93.075,-47.1,1.405,5099.1,2
40,160,-1.8,92.893,-46.2,1.327,5099.1,0
31,79,-0.1,93.2,-42,4.12,5195.8,0
57,243,1.4,94.465,-41.8,4.958,5228.1,2
38,882,-1.8,93.749,-34.6,0.659,5008.7,1
39,5,1.1,93.994,-36.4,4.858,5191,0
37,354,1.1,93.994,-36.4,4.858,5191,2
50,225,1.4,93.918,-42.7,4.962,5228.1,0
33,460,-1.8,93.075,-47.1,1.365,5099.1,1
41,202,1.4,94.465,-41.8,4.864,5228.1,2
37,71,1.1,93.994,-36.4,4.857,5191,0
25,54,-1.8,93.075,-47.1,1.415,5099.1,0
35,451,1.4,93.918,-42.7,4.963,5228.1,0
46,662,1.4,93.918,-42.7,4.962,5228.1,2
29,187,1.4,94.465,-41.8,4.96,5228.1,0
35,82,1.4,93.444,-36.1,4.962,5228.1,0
48,606,-1.8,92.893,-46.2,1.334,5099.1,2
31,76,-3.4,92.431,-26.9,0.73,5017.5,0
33,18,-1.8,92.893,-46.2,1.266,5099.1,0
63,317,-2.9,92.469,-33.6,1.072,5076.2,2
38,67,-0.1,93.2,-42,4.153,5195.8,2
34,492,-3.4,92.649,-30.1,0.716,5017.5,0
34,212,1.4,93.918,-42.7,4.962,5228.1,0
47,267,-1.8,93.876,-40,0.682,5008.7,0
27,185,1.1,93.994,-36.4,4.857,5191,2
24,744,-1.7,94.027,-38.3,0.905,4991.6,1
36,499,-1.8,92.893,-46.2,1.281,5099.1,2
29,123,1.4,94.465,-41.8,4.958,5228.1,0
58,198,1.4,94.465,-41.8,4.865,5228.1,0
40,156,1.4,93.444,-36.1,4.968,5228.1,2
31,98,1.4,93.444,-36.1,4.962,5228.1,0
60,332,1.4,93.444,-36.1,4.963,5228.1,0
58,35,1.4,93.918,-42.7,4.961,5228.1,0
32,124,1.4,93.918,-42.7,4.961,5228.1,2
54,213,1.4,94.465,-41.8,4.961,5228.1,0
43,145,1.4,93.444,-36.1,4.965,5228.1,2
48,145,1.4,94.465,-41.8,4.864,5228.1,2
33,195,-0.1,93.2,-42,4.076,5195.8,0
37,179,1.4,93.918,-42.7,4.96,5228.1,0
35,184,1.1,93.994,-36.4,4.857,5191,2
34,285,1.1,93.994,-36.4,4.86,5191,0
30,31,1.4,93.444,-36.1,4.962,5228.1,2
38,306,1.4,94.465,-41.8,4.961,5228.1,0
29,14,-1.8,92.893,-46.2,1.313,5099.1,2
49,334,-1.8,93.075,-47.1,1.405,5099.1,0
48,117,-2.9,92.201,-31.4,0.869,5076.2,2
33,155,1.4,93.918,-42.7,4.963,5228.1,0
33,117,-1.8,93.075,-47.1,1.415,5099.1,2
42,206,1.1,93.994,-36.4,4.857,5191,2
39,102,1.4,94.465,-41.8,4.864,5228.1,0
55,157,-0.1,93.2,-42,4.153,5195.8,0
46,311,1.1,93.994,-36.4,4.86,5191,2
55,115,1.4,94.465,-41.8,4.864,5228.1,0
42,58,-0.1,93.2,-42,4.021,5195.8,2
24,290,-1.8,92.893,-46.2,1.281,5099.1,0
49,114,1.4,93.444,-36.1,4.963,5228.1,0
38,311,1.4,93.918,-42.7,4.963,5228.1,2
34,146,1.4,93.444,-36.1,4.968,5228.1,0
46,111,1.4,93.918,-42.7,4.957,5228.1,2
45,360,1.4,93.444,-36.1,4.963,5228.1,2
40,106,1.4,93.918,-42.7,4.968,5228.1,2
46,423,1.1,93.994,-36.4,4.856,5191,0
31,350,1.4,94.465,-41.8,4.962,5228.1,0
57,122,1.1,93.994,-36.4,4.857,5191,0
36,91,-1.8,92.893,-46.2,1.299,5099.1,0
50,319,-0.1,93.2,-42,4.153,5195.8,2
32,120,-1.8,93.075,-47.1,1.415,5099.1,2
38,82,-2.9,92.469,-33.6,0.914,5076.2,0
50,801,-1.8,93.876,-40,0.682,5008.7,2
42,168,1.4,94.465,-41.8,4.866,5228.1,2
31,409,1.4,93.444,-36.1,4.965,5228.1,0
27,120,1.4,93.918,-42.7,4.961,5228.1,2
44,123,1.4,94.465,-41.8,4.865,5228.1,0
26,127,1.4,93.918,-42.7,4.963,5228.1,2
